City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Coihaique,CL,66.2,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
656,Crotone,IT,57.2,fog,39.0851,17.1178,Helios Hotel
660,Peniche,PT,55.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
662,Sakakah,SA,60.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
671,Kasungu,MW,72.84,light rain,-13.0333,33.4833,Mame Motel
674,Primo Tapia,MX,55.4,clear sky,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
675,Makakilo City,US,62.6,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
678,Utiel,ES,63.0,broken clouds,39.5667,-1.2,Hotel Restaurante El Tollo
688,Lar,IN,56.35,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
692,Aswan,EG,74.57,clear sky,24.0934,32.907,Nuba Nile
