City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Assiniboia,CA,49.6334,-105.9845,-22.0,69,74,5.75,broken clouds
142,Limanu,RO,43.8,28.5333,45.0,100,90,12.66,light intensity drizzle
143,Mahebourg,MU,-20.4081,57.7,80.6,78,20,10.36,few clouds
144,Pacifica,US,37.6138,-122.4869,52.0,100,90,6.91,mist
145,Cape Town,ZA,-33.9258,18.4232,71.6,53,0,25.32,clear sky
146,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,90,14.97,snow
147,Kodiak,US,57.79,-152.4072,26.6,63,1,4.61,clear sky
148,Margate,GB,51.3813,1.3862,30.99,85,100,8.01,snow
149,Monrovia,LR,6.3005,-10.7969,87.8,66,20,14.97,few clouds
150,Luderitz,NA,-26.6481,15.1594,77.18,50,0,33.55,clear sky
151,Aksarka,RU,66.5606,67.7975,-16.29,88,100,28.83,light snow
152,Ancud,CL,-41.8697,-73.8203,78.8,36,0,4.61,clear sky
153,College,US,64.8569,-147.8028,-11.99,69,75,2.46,broken clouds
154,Sao Filipe,CV,14.8961,-24.4956,71.33,67,68,10.4,broken clouds
155,Lerwick,GB,60.1545,-1.1494,33.8,60,75,6.91,broken clouds
156,Dunedin,NZ,-45.8742,170.5036,57.99,91,43,1.99,scattered clouds
157,Keskin,TR,39.6731,33.6136,49.69,50,72,6.53,broken clouds
158,Port Hardy,CA,50.6996,-127.4199,39.2,100,75,5.75,light rain
159,Geraldton,AU,-28.7667,114.6,69.8,78,40,10.36,scattered clouds
160,Kedougou,SN,12.5579,-12.1743,96.8,17,0,9.22,clear sky
161,Blagoyevo,RU,63.3667,47.9167,-19.61,85,100,9.98,overcast clouds
162,Xai-Xai,MZ,-25.0519,33.6442,79.39,74,99,8.05,overcast clouds
163,Porto Nacional,BR,-10.7081,-48.4172,77.0,83,75,4.61,light rain
164,Viedma,AR,-40.8135,-62.9967,66.0,59,60,18.03,broken clouds
165,Chardara,KZ,41.2547,67.9692,54.73,61,100,13.6,overcast clouds
166,Upernavik,GL,72.7868,-56.1549,18.5,80,22,2.77,few clouds
167,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,75,40,27.63,scattered clouds
168,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,73,90,4.23,light rain
169,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,75,5.75,light rain
170,Khatanga,RU,71.9667,102.5,-31.88,79,0,8.72,clear sky
171,Gimli,CA,50.6336,-96.9907,-23.8,57,1,11.5,clear sky
172,Murgab,TM,37.4966,61.9714,53.6,62,75,4.61,broken clouds
173,Cascais,PT,38.6979,-9.4215,57.99,82,75,12.66,broken clouds
174,Uberlandia,BR,-18.9186,-48.2772,78.8,57,40,2.3,scattered clouds
175,Luau,AO,-10.7073,22.2247,73.42,92,98,3.74,light rain
176,Brae,GB,60.3964,-1.353,33.8,60,75,6.91,broken clouds
177,Pochutla,MX,15.7432,-96.4661,80.01,78,90,5.59,overcast clouds
178,Taltal,CL,-25.4,-70.4833,69.58,62,16,7.58,few clouds
179,La Rioja,ES,42.25,-2.5,50.0,57,75,10.36,broken clouds
180,Kruisfontein,ZA,-34.0033,24.7314,68.0,89,100,1.99,overcast clouds
181,Samarai,PG,-10.6167,150.6667,82.31,78,47,6.02,scattered clouds
182,Airai,TL,-8.9266,125.4092,61.23,100,100,2.33,overcast clouds
183,Fortuna,US,40.5982,-124.1573,44.01,93,90,3.71,overcast clouds
184,Butembo,CD,0.15,29.2833,68.02,48,2,2.51,clear sky
185,Gat,IL,31.61,34.7642,63.0,100,0,5.68,clear sky
186,Neryungri,RU,56.6709,124.6491,-25.1,84,22,0.43,few clouds
187,Saldanha,ZA,-33.0117,17.9442,73.4,46,0,23.02,clear sky
188,Port Blair,IN,11.6667,92.75,79.39,77,0,9.28,clear sky
189,Victoria,HK,22.2855,114.1577,68.0,81,0,10.54,clear sky
190,Bubaque,GW,11.2833,-15.8333,80.96,51,0,9.98,clear sky
191,Guerrero Negro,MX,27.9769,-114.0611,64.74,38,0,4.12,clear sky
192,Lysyanka,UA,49.2523,30.8295,12.58,94,100,8.46,light snow
193,Ust-Omchug,RU,61.15,149.6333,-0.81,88,100,11.88,overcast clouds
194,Barranca,PE,-10.75,-77.7667,76.14,61,100,7.7,overcast clouds
195,Chapais,CA,49.7834,-74.8492,12.2,79,90,9.22,light snow
196,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,11.5,broken clouds
197,Avarua,CK,-21.2078,-159.775,78.8,89,2,4.61,clear sky
198,Chicama,PE,-7.8447,-79.1469,71.6,83,0,10.36,light rain
199,Lokosovo,RU,61.1333,74.8167,13.19,94,95,14.45,overcast clouds
200,Solvychegodsk,RU,61.3305,46.9156,-18.36,85,100,8.95,overcast clouds
201,Chokurdakh,RU,70.6333,147.9167,-27.49,84,56,4.36,broken clouds
202,Dudinka,RU,69.4058,86.1778,-31.07,80,0,10.74,clear sky
203,Hambantota,LK,6.1241,81.1185,78.8,89,0,8.05,clear sky
204,Mehamn,NO,71.0357,27.8492,23.0,86,90,31.07,light snow
205,West Wendover,US,40.7391,-114.0733,39.2,30,1,4.61,clear sky
206,Rio Cuarto,AR,-33.1307,-64.3499,82.4,51,0,5.75,clear sky
207,Acarau,BR,-2.8856,-40.12,89.31,54,8,16.87,clear sky
208,Killybegs,IE,54.6333,-8.45,37.4,75,90,14.97,overcast clouds
209,Mozarlandia,BR,-14.7447,-50.5706,76.32,90,100,13.85,overcast clouds
210,Asfi,MA,32.2994,-9.2372,59.68,64,13,6.02,few clouds
211,Todos Santos,MX,23.45,-110.2167,71.01,64,100,1.01,overcast clouds
212,Ewa Beach,US,21.3156,-158.0072,62.6,77,75,4.61,broken clouds
213,Nishihara,JP,26.1842,127.7558,62.6,63,1,6.2,clear sky
214,Saint-Augustin,CA,51.226,-58.6502,30.22,93,91,24.18,overcast clouds
215,Zverinogolovskoye,RU,54.4586,64.8542,5.16,91,82,16.06,broken clouds
216,Rawson,AR,-43.3002,-65.1023,61.09,51,29,14.14,scattered clouds
217,Norman Wells,CA,65.282,-126.8329,-27.4,75,90,2.3,light snow
218,Kieta,PG,-6.2167,155.6333,79.5,80,99,4.23,overcast clouds
219,Esperance,AU,-33.8667,121.9,64.4,82,40,16.11,scattered clouds
220,Ushibuka,JP,32.1906,130.0228,54.7,60,0,12.03,clear sky
221,San Patricio,US,28.017,-97.5169,64.99,59,1,13.8,clear sky
222,Price,US,39.5994,-110.8107,39.2,33,1,5.75,clear sky
223,Cervo,ES,43.6702,-7.4101,55.0,77,100,8.99,overcast clouds
224,Joensuu,FI,62.6012,29.7632,19.99,93,75,9.22,light snow
225,Inongo,CD,-1.95,18.2667,82.08,67,98,3.24,overcast clouds
226,Lorengau,PG,-2.0226,147.2712,81.81,81,97,8.75,overcast clouds
227,Port Moresby,PG,-9.4431,147.1797,77.0,94,20,9.22,few clouds
228,Naze,JP,28.3667,129.4833,57.9,64,0,8.19,clear sky
229,Anadyr,RU,64.75,177.4833,10.4,40,0,6.71,clear sky
230,Bajil,YE,15.0584,43.2851,75.58,66,88,9.1,overcast clouds
231,Sangar,RU,63.9242,127.4739,-32.57,79,0,4.76,clear sky
232,Novoagansk,RU,61.9449,76.6625,22.96,96,99,19.22,light snow
233,Cururupu,BR,-1.8283,-44.8683,87.28,61,59,8.14,broken clouds
234,Talara,PE,-4.5772,-81.2719,87.8,51,0,13.8,clear sky
235,Kangaatsiaq,GL,68.3065,-53.4641,22.14,85,0,22.95,clear sky
236,Roma,US,43.2128,-75.4557,28.99,54,90,4.03,light snow
237,Novyy Urengoy,RU,66.0833,76.6333,-3.57,92,100,19.66,light snow
238,Saskylakh,RU,71.9167,114.0833,-38.31,78,25,11.92,scattered clouds
239,Torbay,CA,47.6666,-52.7314,34.0,59,40,33.38,scattered clouds
240,Kantang,TH,7.4054,99.5156,75.63,86,0,5.28,clear sky
241,Stornoway,GB,58.2093,-6.3865,36.0,55,40,17.27,scattered clouds
242,La Ligua,CL,-32.4524,-71.2311,64.4,82,90,9.22,overcast clouds
243,Nouadhibou,MR,20.931,-17.0347,77.0,27,0,17.27,clear sky
